GPSpt,Date,ShrCover1,GrassCover1,TreeCover1,SH1,SH2,SH3,SH4,SH5,GH1,GH2,GH3,GH4,GH5,ShrCover2,GrassCover2,TreeCover2,SH6,SH7,SH8,SH9,SH10,GH6,GH7,GH8,GH9,GH10,ShrCover3,GrassCover3,TreeCover3,SH11,SH12,SH13,SH14,SH15,GH11,GH12,GH13,GH14,GH15,Buildings,Notes
23,20150127,14,37,53,1,2.4,1.3,1.9,1.7,shin,,shin,shin,,13,68,6,1.2,1.6,1.4,1.3,1,shin,knee,shin,knee,shin,11,57,59,1.2,,1.8,,,shin,knee,knee,knee,shin,0,
24,20150127,13,67,63,1.1,1.3,2,1.4,1.3,ankle,shin,shin,shin,ankle,9,54,59,1.3,1.9,0.8,0.7,1.6,shin,knee,ankle,knee,knee,7,72,44,1,,,,1.3,knee,waist,knee,waist,waist,0,
25,20150127,58,85,0,2.1,2.3,1.9,2.4,2.7,shin,shin,shin,,shin,7,83,23,1.1,1.3,0.9,1.4,1.6,ankle,shin,shin,ankle,shin,17,79,17,1.8,1.2,2.2,1.6,1.9,thigh,knee,knee,shin,knee,0,
26,20150220,37,76,7,1.8,1.9,1.6,1.6,1.6,knee,knee,knee,knee,knee,82,29,0,1.8,1.8,2.4,1.7,1.8,knee,,,knee,,63,34,17,1.9,2.3,1.9,1.9,1.7,waist,knee,knee,,knee,0,
27,20150129,68,17,6,2.3,2.2,2.3,2.3,2.4,ankle,,,waist,waist,74,19,23,1.7,1.6,1.4,1.8,1.2,,shin,,shin,thigh,74,30,73,1.9,1.9,3.3,1.7,3.2,thigh,,shin,shin,,0,
28,20150127,15,25,60,,,,,3.1,shin,knee,knee,shin,shin,34,53,60,3.3,2.6,2.8,3.4,2.2,shin,shin,shin,knee,shin,23,57,0,0.7,1.8,2.4,1.7,1.3,shin,shin,shin,shin,shin,0,
30,20150126,78,94,3,0.6,1.7,1.4,1.8,1.2,knee,shin,knee,shin,knee,34,89,16,1.7,2.3,1.9,2.3,2.2,shin,knee,shin,knee,shin,65,72,7,2.2,2.6,1.5,1.8,2.2,knee,knee,knee,knee,knee,0,
32,20150220,74,50,21,19,2.4,1.9,1.9,1.9,knee,knee,knee,,knee,68,56,0,2.2,1.9,1.8,2.1,1.7,knee,knee,knee,knee,knee,84,38,0,2.3,2.5,2.3,2,1.9,knee,knee,knee,knee,knee,0,
33,20150220,57,45,0,2.2,2,2.7,2,1.7,shin,shin,shin,shin,shin,72,40,0,2.5,2.3,1.9,1.7,2,shin,knee,shin,shin,knee,88,29,0,2.7,2,2.3,1.9,2.4,shin,shin,shin,shin,shin,0,
34,20150127,3,80,0,0.2,0.2,0.1,0.3,,shin,waist,shin,shin,knee,5,79,0,0.2,,,0.3,0.1,thigh,knee,waist,waist,knee,11,76,0,1.2,0.4,0.2,,0.2,waist,knee,waist,waist,waist,0,
35,20150127,2,74,0,0.2,0.3,1.4,0.3,1.2,waist,waist,waist,waist,waist,7,86,14,1.5,1.4,1,0.4,1.2,waist,chest,waist,waist,chest,2,84,16,,1.2,1,,,waist,waist,waist,waist,waist,0,
36,20150127,13,84,18,0.2,2,3.2,1.6,1.2,ankle,waist,ankle,ankle,knee,6,90,0,0.3,1.4,0.3,,0.6,waist,ankle,waist,waist,ankle,9,92,14,0.2,1.4,0.3,,,ankle,knee,ankle,ankle,waist,0,
37,20150127,54,67,0,1.7,1.5,0.9,1.3,1.7,waist,waist,waist,waist,waist,14,79,6,1.3,1.1,0.9,,1.4,knee,knee,waist,knee,waist,42,59,0,1.7,2.3,1.9,1.6,1.5,waist,waist,waist,waist,knee,0,
38,20150127,16,92,46,,,2.6,2.3,1.9,waist,waist,waist,thigh,waist,11,100,9,0.3,0.7,1.2,1.8,1.9,knee,knee,knee,knee,waist,26,79,11,,1.9,1.7,1.2,1.3,knee,knee,knee,waist,waist,0,
39,20150127,48,29,34,2,1.8,1.9,2.1,2.2,thigh,knee,knee,,thigh,17,91,16,1.8,1.9,1.4,2.6,1.6,ankle,knee,ankle,knee,waist,7,97,0,0.9,0.4,1.2,0.6,1.3,knee,knee,knee,knee,knee,0,
40,20150127,77,29,8,1.9,1.9,1.9,1.7,1.9,shin,,,,shin,46,48,0,,1.8,1.7,1.7,1.9,knee,knee,,,knee,59,37,4,1.6,1.8,1.7,1.9,1.6,ankle,shin,shin,,,0,
41,20150127,37,52,4,1.8,1.9,1.7,1.8,1.6,shin,shin,shin,shin,shin,44,39,0,1.7,1.4,1.3,1.9,1.6,ankle,ankle,,,ankle,24,52,16,1.1,1.7,1.6,1.8,1.3,shin,shin,ankle,,shin,0,
42,20150127,62,41,33,1.8,2,1.7,1.3,1.9,chest,chest,,chest,chest,79,19,21,2.2,2.1,1.7,2.3,1.6,thigh,waist,thigh,chest,thigh,57,35,11,1.8,1.3,1.6,2,1.9,shin,waist,thigh,shin,shin,0,
43,20150128,2,78,19,,,0.3,,,thigh,thigh,thigh,thigh,thigh,71,62,36,2.4,1.5,1.3,3.2,2.6,thigh,thigh,thigh,thigh,thigh,82,67,44,2.7,3.3,1.7,2.4,1.6,thigh,thigh,thigh,thigh,thigh,0,Limited clearing of Dichrostachys between first visit and veg sampling
44,20150128,54,94,0,2.7,2.9,3.2,1.9,3.3,shin,shin,shin,shin,shin,71,91,6,2.2,2.3,1.9,2.6,2.7,shin,shin,shin,shin,shin,78,86,63,2.2,2.7,2.9,3.2,2,shin,shin,shin,shin,shin,0,
45,20150128,15,92,67,1.9,1.7,1.8,2.3,2.6,shin,shin,knee,shin,shin,61,87,73,1.2,1.4,0.8,1.7,1.9,shin,shin,shin,shin,shin,4,80,78,0.4,1,1.3,0.7,1,knee,knee,shin,knee,knee,0,
46,20150128,0,94,92,,1.4,0.7,,1.4,knee,knee,knee,knee,knee,16,88,79,1.2,2.2,2,2.3,1.9,shin,shin,shin,knee,shin,7,72,56,1.1,1.4,1.3,1.7,1.6,knee,shin,knee,knee,shin,0,
47,20150128,66,84,37,1.6,2.2,2.7,3.2,1.9,thigh,waist,knee,knee,waist,77,85,6,2,2.2,1.8,1.7,2.2,knee,knee,waist,knee,knee,93,45,17,2.2,2.2,2.7,1.9,2.6,,,waist,knee,knee,0,
48,20150129,100,36,29,3.1,3.3,2.9,3.3,3.5,shin,shin,,,thigh,67,17,62,2.6,2.7,3.1,,1.7,knee,knee,knee,,ankle,39,33,57,2.4,2.7,2.9,2.7,2.6,knee,thigh,waist,knee,knee,0,
49,20150129,36,89,63,2.5,2.6,3.2,2.3,3.3,knee,knee,knee,knee,knee,40,79,61,0.5,1.2,2.7,3.2,1.9,thigh,waist,knee,thigh,thigh,56,94,34,1.2,1,1.7,2.7,3.3,waist,waist,,knee,knee,0,
50,20150129,87,56,62,1.3,1.9,2.7,2.9,1.7,waist,chest,waist,waist,waist,17,92,29,2.3,2.7,1.7,2.6,3,waist,waist,chest,waist,chest,83,54,17,2.3,2.1,2,1.9,2.6,knee,knee,knee,,knee,0,
51,20150128,17,78,32,1.2,1.7,2.4,2.4,1.9,knee,knee,knee,knee,knee,59,72,68,2.1,2.9,1.7,2.9,3.4,,knee,knee,thigh,knee,37,76,17,1.7,1.6,2.6,2,1.9,thigh,thigh,knee,waist,knee,0,
52,20150130,11,97,34,1.3,1.5,1.9,1.2,2.2,knee,knee,knee,knee,knee,7,92,88,1,1.3,1.6,,1.3,knee,knee,knee,knee,knee,26,83,68,2.2,2.4,3.1,1.9,2.2,thigh,knee,knee,thigh,knee,0,
53,20150130,26,91,77,0.2,2.2,2.7,1.9,0.9,knee,knee,knee,knee,knee,37,86,35,3.2,1.7,1.2,1.4,2.3,shin,shin,shin,shin,shin,49,96,22,0.9,3.3,3.3,3.3,3.3,thigh,thigh,knee,knee,knee,0,
54,20150130,16,66,17,0.2,1.2,1.2,0.8,1,ankle,,ankle,ankle,ankle,59,48,55,2.2,1.3,3,3.2,2.9,ankle,,shin,knee,,36,79,0,1.7,3.2,3.3,3,2.4,knee,thigh,knee,knee,knee,0,
55,20150130,47,88,36,1.6,2.3,2.6,2.4,2.2,knee,waist,knee,knee,knee,29,92,50,2.9,3.3,2,3.2,2.7,waist,waist,waist,waist,waist,37,79,16,0.3,2.6,2.6,2.4,0.5,knee,knee,ankle,ankle,knee,0,
56,20150130,68,33,33,2.7,2.9,3.2,2.6,2.5,knee,knee,knee,knee,knee,74,54,0,1.2,3.3,3.3,2.9,3.1,shin,shin,thigh,shin,ankle,59,60,22,1.7,2.4,2.7,1.9,1.6,shin,knee,knee,knee,knee,0,
58,20150130,55,40,17,1.3,1.3,1.4,1.7,1.4,waist,waist,waist,waist,waist,26,80,62,1.1,1,1.6,1.8,1.7,thigh,thigh,waist,thigh,thigh,67,28,27,1.2,1.7,1.2,1.8,1.2,knee,knee,,knee,knee,0,
59,20150130,27,74,19,1.2,1.5,1.7,1.9,1.3,ankle,ankle,knee,knee,ankle,15,80,42,2.4,0.8,1.9,3.2,2.6,shin,shin,knee,shin,knee,42,78,62,2.5,2.5,2.6,2.4,1.7,knee,knee,shin,knee,knee,0,
60,20150130,27,65,30,0.3,0.9,2.6,2.4,2.2,shin,shin,ankle,ankle,shin,40,72,38,2.9,2.7,3.3,2.2,1.9,shin,shin,shin,shin,shin,24,79,59,2.2,2.7,2.6,3,2.9,knee,knee,waist,knee,shin,0,
61,20150130,27,86,64,1.7,1.2,3,2,2.4,knee,knee,knee,knee,knee,18,92,17,2.3,1.2,1.3,2.2,2.7,knee,knee,knee,waist,knee,29,68,16,1,2.2,1.3,1.2,1.3,shin,shin,shin,knee,shin,0,
62,20150223,63,54,49,3.5,3.5,2.4,1.7,2.2,knee,,,knee,knee,79,66,17,3.5,3.1,3.2,3.2,2.9,knee,knee,knee,knee,knee,68,59,30,0.5,3.5,3.5,3.5,2.4,knee,shin,shin,shin,knee,0,
63,20150223,100,7,7,3.5,3.5,3.5,3.5,3.5,shin,shin,,shin,shin,100,29,0,3.5,3.5,3.5,3.5,3.5,shin,shin,shin,shin,shin,100,17,0,3.5,3.5,3.5,3.5,3.5,shin,shin,shin,shin,shin,0,
64,20150223,68,79,9,3.5,3.5,3.5,3.5,3.3,knee,knee,knee,knee,knee,100,66,11,3.5,3.5,3.5,3.5,3.4,knee,knee,,knee,knee,79,54,7,3.5,3.1,2.9,2.2,,ankle,shin,knee,knee,knee,0,
65,20150223,62,11,70,3,2.7,2.9,3.5,1.7,,,,knee,knee,100,6,94,3.3,2.9,3.2,3.5,3.5,,,,,,97,3,51,3.3,3.3,3.3,2.7,2.6,,,,,,0,
66,20150223,84,59,63,1.7,2.7,2.6,2.6,1.7,waist,waist, ,waist,waist,11,92,89,,,,1.7,2.6,waist,waist,waist,waist,waist,21,92,21,3.3,2.9,1.6,,,waist,waist,waist,waist,waist,0,
67,20150223,84,96,21,3.5,2.9,3.5,3.3,3.1,waist,knee,knee,knee,knee,49,96,84,2.3,2.7,3.5,2.6,1.9,knee,knee,knee,knee,knee,29,96,51,2.7,2.9,2.6,3.1,0.7,chest,knee,knee,chest,knee,0,
68,20150223,100,2,31,3.5,2.9,3.3,3.3,2.7,,,,,,100,5,29,1.9,2.9,3.5,3.5,1.7,,,,,,95,8,21,2.9,2.9,2.6,2.6,1.9,,,shin,shin,,0,
69,20150223,11,94,78,,0.9,,,,waist,waist,waist,waist,waist,84,9,86,2.2,2.6,2.1,2.9,2.2,,,shin,,,79,26,59,1.9,3.5,1.6,0.9,1.4,waist,knee,waist,waist,waist,0,
70,20150223,100,17,24,3.5,3.5,3.2,3.5,3.2,knee,knee,,,knee,47,60,31,3.5,3.5,1.9,1.3,1,,knee,knee,waist,waist,59,63,19,3.5,3.3,3,1,1.3,shin,knee,knee,knee,waist,0,
75,20150219,21,30,0,3.2,,3.5,2.7,0.6,ankle,ankle,ankle,ankle,ankle,19,27,0,0.3,3.5,2.2,2.1,1.7,ankle,ankle,ankle,ankle,ankle,17,32,0,2.9,0.7,,,1.2,ankle,ankle,ankle,ankle,ankle,0,
76,20150219,14,45,14,0.1,0.1,0.7,3.5,2.7,ankle,ankle,ankle,ankle,ankle,9,32,8,,1.2,0.7,1,,ankle,ankle,ankle,ankle,ankle,5,21,0,2.9,0.2,0.2,0.6,2.7,ankle,ankle,ankle,ankle,ankle,0,
77,20150219,14,17,8,1.6,0.9,1.4,2.7,0.6,ankle,ankle,ankle,ankle,ankle,11,19,0,1.9,0.3,0.4,3.5,0.9,ankle,ankle,ankle,ankle,ankle,9,15,0,0.3,0.3,0.7,0.6,0.9,ankle,ankle,ankle,ankle,ankle,0,
78,20150219,19,31,6,0.3,0.5,1.9,1.7,0.4,ankle,ankle,ankle,ankle,ankle,24,30,0,0.2,0.2,1.6,1.3,1.2,ankle,ankle,ankle,ankle,ankle,22,29,5,1.7,1.3,1.4,1.2,0.9,ankle,ankle,ankle,ankle,ankle,0,
79,20150219,17,21,0,0.8,1.3,0.7,0.6,1.2,ankle,ankle,ankle,ankle,ankle,21,23,0,1.6,1.2,1.2,2,1.7,ankle,ankle,ankle,ankle,ankle,19,21,0,1,2.2,0.7,0.5,1.3,ankle,ankle,ankle,ankle,ankle,0,
80,20150219,37,40,0,1,1.2,1.6,1.3,1,ankle,ankle,ankle,ankle,ankle,33,36,0,0.8,1,2.1,1.6,1.2,ankle,ankle,ankle,ankle,ankle,17,29,0,1.2,1.4,,,2.3,ankle,ankle,,ankle,ankle,0,
81,20150219,17,15,0,0.3,0.6,0.4,0.8,0.3,ankle,ankle,ankle,ankle,ankle,14,17,6,0.2,0.9,1.2,2.3,1.3,ankle,ankle,ankle,ankle,ankle,6,16,21,0.9,1.3,0.9,2.3,1.3,ankle,ankle,ankle,ankle,ankle,0,
82,20150219,19,16,0,0.3,0.8,1.4,0.3,0.6,ankle,ankle,ankle,ankle,ankle,64,16,0,3,2.9,3.3,2.7,2.4,ankle,ankle,ankle,ankle,ankle,67,17,8,2.6,3.5,3.5,3,2.7,ankle,ankle,ankle,ankle,ankle,0,
83,20150219,16,12,0,,0.6,0.6,2.3,2.4,ankle,ankle,ankle,ankle,ankle,27,9,8,0.4,0.6,2.4,1.8,1.6,ankle,ankle,ankle,ankle,ankle,31,7,0,0.6,2.4,3.3,2.9,1.4,ankle,ankle,ankle,ankle,ankle,0,
84,20150219,78,7,0,2.2,3.5,3.5,1.6,1.7,ankle,ankle,ankle,,ankle,63,8,0,3.4,3,1.2,2.1,0.7,ankle,ankle,ankle,ankle,ankle,72,6,0,1.5,3.5,3.3,1.4,1.2,ankle,,ankle,ankle,ankle,0,
85,20150219,7,9,0,1.4,0.7,0.2,0.6,1.9,,ankle,ankle,ankle,ankle,59,6,11,0.6,1.9,2.3,2.3,1.7,ankle,ankle,ankle,ankle,ankle,39,4,0,2.3,0.7,2.7,2.3,1,,,,ankle,,0,
86,20150219,17,7,7,1,0.2,0.9,2.4,0.3,ankle,,,ankle,,11,8,0,0.2,0.2,0.8,3.4,0.6,,ankle,ankle,ankle,ankle,16,4,0,3.2,0.2,,,,,ankle,shin,shin,ankle,0,
87,20150219,29,21,0,1.9,1.7,1.4,2.2,1.6,shin,,shin,,shin,41,19,15,2,1.8,1.9,2.4,2.5,,ankle,,ankle,,21,23,0,1.3,2.3,,2.7,2.9,ankle,ankle,shin,ankle,ankle,0,
88,20150131,18,22,0,0.3,0.3,1.9,2.4,0.2,,,,ankle,,9,16,0,0.3,2.6,0.2,0.9,0.8,,ankle,,ankle,,11,9,20,0.3,0.7,2.3,0.6,0.4,,ankle,,ankle,,0,
89,20150131,56,29,16,2.6,2.8,3.2,2.7,2.4,shin,ankle,shin,shin,,60,27,9,1.2,1.7,2.3,2.6,1.4,ankle,ankle,,,ankle,35,30,0,1,2.7,1.2,1.2,2.2,ankle,ankle,ankle,shin,ankle,0,
90,20150131,48,21,14,1.7,1.3,2.4,2.6,1.9,ankle,ankle,shin,,shin,27,19,33,2,1.2,3.2,1.7,1.6,ankle,ankle,ankle,ankle,ankle,22,14,9,0.3,2.2,0.9,1.2,2.4,ankle,ankle,ankle,ankle,ankle,0,
91,20150131,46,3,29,1.4,2.7,1.9,2.6,1.7,,knee,,,ankle,44,6,0,1.7,2.9,1.4,1.3,2.4,ankle,ankle,,,ankle,11,9,4,1.1,0.9,0.7,1.4,2.3,,,ankle,ankle,,0,
92,20150131,31,4,17,1.1,1.2,2.7,1.4,,,ankle,,,,27,5,0,1.2,1.6,3.2,1.7,1.2,,ankle,,,ankle,17,20,0,1.9,0.4,0.3,0.7,1.3,,ankle,ankle,ankle,shin,0,
93,20150203,74,60,7,1.9,2.4,2.3,2.4,2.4,shin,shin,ankle,shin,shin,88,41,7,2,2.6,2.5,2.6,1.9,ankle,shin,ankle,shin,ankle,78,37,11,2.2,2,2.3,2.4,2.2,ankle,ankle,shin,shin,ankle,0,
94,20150203,88,45,0,2.9,2.7,1.9,2.8,2.8,shin,shin,shin,shin,shin,84,36,19,2.1,2.6,3.4,3.4,1.9,shin,shin,ankle,ankle,ankle,29,48,71,2.2,2.3,1.9,2.7,2.9,ankle,ankle,ankle,ankle,ankle,0,
95,20150203,82,34,11,1.8,2.3,2.6,2.4,2.6,ankle,shin,ankle,shin,shin,78,22,9,1.8,1.9,2.3,2.6,2.2,ankle,ankle,ankle,,ankle,91,16,4,2.8,2.7,3.2,2.9,2.7,shin,,,shin,ankle,0,
96,20150203,6,59,100,,,,,,shin,shin,shin,shin,shin,0,44,73,,,,,,ankle,shin,shin,shin,shin,8,41,76,1.9,1.3,,,,shin,ankle,shin,shin,shin,0,
97,20150203,78,30,0,2.4,2.6,2.6,2.5,2.7,ankle,ankle,ankle,ankle,ankle,92,18,37,2.4,2.6,2.4,2.4,2.4,ankle,ankle,,ankle,ankle,96,24,13,3.3,3,3.2,2.9,3.4,ankle,,,ankle,ankle,0,
98,20150203,16,32,67,,1,,,,shin,shin,ankle,shin,ankle,29,19,94,2.7,2.9,3.4,3.4,2.6,ankle,shin,shin,shin,shin,49,17,78,2.3,2.9,2.4,2.2,2.9,ankle,shin,knee,knee,shin,0,
99,20150203,29,19,100,2.7,2.9,2.6,2.4,2.1,shin,shin,,shin,shin,27,30,30,2.6,2.6,2.8,3.2,2.2,shin,shin,shin,shin,shin,16,15,74,2.3,2.2,1.7,1.4,2.3,knee,shin,knee,shin,shin,0,
100,20150203,29,16,0,3.3,2.7,2.2,3.3,2.2,,,ankle,,,38,11,7,1.1,2,2.7,2.5,2.5,ankle,shin,ankle,,ankle,17,26,0,2.5,,2.9,3.2,3.3,shin,knee,knee,shin,ankle,0,
102,20150203,96,74,0,3.4,3.2,2.9,3.2,3.3,shin,shin,shin,shin,shin,87,68,7,3.4,3.3,3.4,3.4,3.2,ankle,shin,ankle,ankle,ankle,91,59,30,3.5,3.4,3.3,3.4,3.4,shin,shin,ankle,shin,ankle,0,
103,20150225,100,30,0,2.8,2.8,2.8,2.8,2.8,shin,shin,ankle,ankle,ankle,89,24,8,2.4,2.4,2.6,1.9,2,ankle,ankle,ankle,ankle,ankle,96,27,6,3,2.7,2.7,2.6,3,ankle,shin,shin,ankle,ankle,0,
104,20150225,15,19,92,1.8,1.2,0.7,,,ankle,ankle,ankle,ankle,ankle,78,15,40,2.9,3.4,3.4,3.2,2.7,ankle,ankle,ankle,ankle,ankle,94,17,16,3.3,3.5,3.3,3.2,3.3,ankle,ankle,ankle,ankle,ankle,0,
105,20150225,100,6,0,3.3,3.3,3.3,3.3,3.2,shin,, ,shin,shin,64,7,0,3.2,1.7,1.4,3.2,3,shin,,,,shin,59,13,35,1,0.9,2.9,2.9,2,,shin,shin,shin,shin,0,
106,20150225,100,11,9,3.2,2.9,3.1,2.9,2.9,,ankle,,ankle,ankle,100,9,0,3.3,2.9,2.9,3.2,3.1,ankle,, ,ankle,,100,4,0,3.5,2.6,2.2,2.4,2.1,,,,ankle,ankle,0,
107,20150225,19,30,85,2.4,3.5,3.5,2.7,3.5,ankle,ankle,ankle,shin,shin,100,34,18,3.5,2.9,2.9,2.7,3.2,shin,shin,ankle,shin,ankle,100,27,16,3.5,2.5,2.9,2.7,3.2,ankle,ankle,,,ankle,0,
108,20150225,100,6,11,3.1,3.2,3.2,3.1,3,,ankle,ankle,,ankle,100,8,0,2.9,3,3.2,2.9,1.9,ankle,ankle,ankle,,,100,5,14,3.4,3.4,3.2,3.2,3.2, ,ankle,ankle,ankle,ankle,0,
109,20150225,78,11,5,2.9,3.3,2.7,2.7,2.4,ankle,ankle,,ankle,ankle,67,4,17,2.8,2.2,2.4,2.6,1.6,,,,ankle,ankle,54,7,13,2,2.3,2.4,2,1.9,,,ankle,ankle,,0,
110,20150225,78,26,0,3.5,1.6,3,3,2.7,ankle,ankle,ankle,ankle,ankle,89,19,16,2.5,2.7,2.4,2.4,1.9,ankle,ankle,ankle,,ankle,94,16,22,2.5,2.9,2.9,2.4,1.7,ankle,ankle,ankle,ankle,ankle,0,
111,20150225,100,9,60,2.3,2.1,1.7,1.6,2.2,,,,ankle,ankle,55,4,92,3.3,2.9,0.7,1.2,1.1,,,shin,ankle,ankle,74,7,57,3.5,2.9,2.9,2.6,1.4,ankle,ankle,ankle,shin,ankle,0,
112,20150131,7,15,0,,0.3,2.5,2.7,0.4,ankle, ,,,ankle,16,55,0,0.8,0.6,3.2,0.9,1.4,,,ankle,ankle,shin,17,39,8,1.3,2.3,1.1,1.6,0.5,,,,ankle,ankle,0,
