GPSPt,African Firefinch,African Goshawk,African Green Pigeon,African Harrier-Hawk,African Hoopoe,African Paradise Flycatcher,African Pygmy Kingfisher,Amur Falcon,Arrow-marked Babbler,Barn Swallow,Bateleur,Bearded Woodpecker,Black Cuckoo,Black Cuckoo ,Black Cuckooshrike,Black-backed Puffback,Black-bellied Bustard,Black-collared Barbet,Black-crowned Tchagra,Black-headed Oriole,Blue Waxbill,Bronze Mannikin,Brown-crowned Tchagra,Brown-hooded Kingfisher,Brubru,Burchells Coucal,Bushveld Pipit,Cape Glossy Starling,Cape Turtle Dove,Cape White-Eye,Cardinal Woodpecker,Chinspot Batis,Common Buttonquail,Common Scimitarbill,Common Swift,Common/African Swift,Crested Barbet,Crested Guineafowl,Croaking Cisticola,Dark Chanting Goshawk,Dark-capped Bulbul,Dideric Cuckoo,Eastern Nicator,Emerald-spotted Wood Dove,Eurasian Golden Oriole,European Bee-eater,Fan-tailed Widowbird,Fork-tailed Drongo,Golden-breasted Bunting,Golden-tailed Woodpecker,Gorgeous Bushshrike,Greater Honeyguide,Green Wood-Hoopoe,Green-backed Camaroptera,Green-winged Pytilia,Grey Penduline Tit,Grey Tit-Flycatcher,Grey-headed Bushshrike,Hadada Ibis,Helmeted Guineafowl,Jacobin Cuckoo,Klaass Cuckoo,Kurrichane Thrush,Lesser Honeyguide,Lesser Striped Swallow,Little Bee-eater,Little Swift,Long-billed Crombec,Neddicky,Orange-breasted Bushshrike,Pale Flycatcher,Purple-banded Sunbird,Purple-crested Turaco,Rattling Cisticola,Red-backed Shrike,Red-billed Oxpecker,Red-capped Robin-Chat,Red-chested Cuckoo,Red-collared Widowbird,Red-eyed Dove,Red-faced Mousebird,Red-headed Weaver,Retz Helmetshrike,Scarlet-chested Sunbird,Sombre Greenbul,Southern Black Flycatcher,Southern Black Tit,Southern Boubou,Southern Grey-headed Sparrow,Southern Masked Weaver,Speckled Mousebird,Spectacled Weaver,Spotted Flycatcher,Steppe Buzzard,Striped Kingfisher,Tambourine Dove,Tawny-flanked Prinia,Terrestrial Brownbul,Trumpeter Hornbill,Village Weaver ,Violet-backed Starling,White-backed Vulture,White-bellied Sunbird,White-browed Robin-Chat,White-browed Scrub Robin,White-crested Helmetshrike,White-rumped Swift,Willow Warbler,Woodland Kingfisher,Yellow-billed Kite,Yellow-breasted Apalis,Yellow-fronted Canary,Yellow-throated Longclaw,Yellow-throated Petronia
24,0,0,1,0,1,2,0,0,4,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,2,0,0,1,0,1,1,0,1,0,1,1,0,0,0,4,0,0,2,0,1,0,3,2,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,3,0,2,0,0,1,0,0,0,0,4,2,1,2,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,1,0,1,0,0,1,1,0,2,2,0,0
26,0,0,1,1,0,1,0,0,5,3,0,2,0,0,1,1,0,0,2,0,0,2,1,1,1,2,0,0,1,0,2,2,0,0,0,1,0,0,0,0,3,1,0,2,0,3,1,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,1,3,0,0,0,1,3,0,0,1,0,0,1,0,1,18,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,3,1,1,0,0,0,4,0,1
27,0,0,1,0,1,1,0,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,2,0,1,0,0,0,0,0,0,4,0,0,2,0,3,0,4,1,1,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,3,0,0,1,1,0,1,0,0,0,2,2,1,0,0,0,2,0,0,0,1,0,2,0,1,5,0,1,1,0,1,3,0,1
33,0,0,1,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,2,0,1,3,0,0,0,0,0,3,2,0
34,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,0,4,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,4,0,1,0,3,0,1,0,0,0,0,0,0,0,0,12,1,3
35,2,0,0,0,1,2,0,1,0,3,0,0,0,0,2,1,0,0,1,1,2,0,1,1,1,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,3,1,1,0,0,3,2,0,0,0,1,0,2,4,0,3,0,0,0,0,0,2,0,2,0,0,7,0,0,2,0,0,0,0,0,1,0,2,3,0,2
36,0,0,3,1,1,1,0,0,0,2,0,0,0,0,1,1,0,1,1,1,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,5,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,2,0,2
40,0,0,1,0,0,2,0,0,3,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,3,1,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,1,2,0,0,0,0,0,3,0,1
53,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,0,0,1,1,5,0,0,0,2,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,2,2,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,2,3,0,3,0,0,0,1,0,2,0,1,0,0,0,3,0,3,0,1,2,0,1,2,0,1,3,0,2
55,0,0,1,0,1,4,0,0,0,0,0,0,1,0,2,1,0,0,0,1,2,0,1,0,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,1,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,1,0,2,0,0,3,0,0,1,0,1,0,1,3,0,1,0,0,1,3,0,1
58,2,0,2,0,1,2,0,0,0,0,2,1,1,0,2,1,0,0,1,2,2,0,0,1,2,0,0,2,0,0,1,1,0,1,0,0,0,4,0,1,3,0,1,3,0,0,0,2,3,1,0,0,0,2,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,2,1,0,3,0,3,1,1,0,1,0,0,2,1,1,0,3,2,2,0,0,0,1,0,0,0,1,3,0,0,1,0,2,0,1,5,0,1,1,0,2,2,0,2
60,0,0,2,0,1,2,0,0,0,0,0,1,1,0,2,1,0,0,1,1,3,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,5,0,0,5,0,0,3,0,0,0,5,2,1,0,0,3,1,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,1,0,1,1,2,0,7,0,0,0,2,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,1,0,0,1,2,0,1,2,0,2
61,0,0,1,0,2,2,0,0,0,0,0,1,0,0,2,2,0,0,1,1,2,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,2,0,3,0,4,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,1,0,3,0,1,0,1,0,0,0,2,1,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,2,0,1,2,0,1
62,2,0,1,0,0,3,0,0,0,1,0,2,1,0,1,2,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,1,3,0,0,0,2,2,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,3,1,0,1,0,1,0,0,0,2,0,1,0,1,0,1,1,0,0,1,1,0,2,2,2,0,0,0,0,0,0,1,2,3,0,0,1,0,2,0,0,3,1,0,2,0,3,2,0,0
65,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,1,4,0,0,1,0,2,0,1,0,0,1,1,0,2,2,0,1
67,0,0,0,0,1,2,0,0,2,0,0,1,1,0,2,1,0,0,1,2,0,0,1,2,1,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,3,0,1,2,0,0,0,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,2,2,0,1
68,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,4,0,0,3,0,1,3,0,0,0,2,0,1,2,0,0,2,0,0,1,0,3,2,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,2,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,1,4,2,2,0,1
69,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,1,0,1,2,1,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,1,0,1,2,0,1
70,0,0,0,0,1,4,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,5,0,1,0,0,0,3,0,0,16,0,1,3,0,0,0,3,0,1,0,1,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,7,0,0,1,1,0,2,0,0,0,2,0,0,0,1,0,1,4,0,0,1,0,2,0,1,2,0,1,1,0,2,1,0,1
121,0,0,0,0,2,1,0,0,0,8,2,1,1,1,1,1,0,0,1,2,2,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,3,0,1,2,0,0,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,3,1,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1,3,0,1,1,0,1,2,0,1
123,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,3,0,0,2,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,2,0,0
125,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,1,1,1,0,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,3,3,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,1,0,1,3,0,1
126,0,1,1,0,0,2,0,0,0,4,0,2,0,0,2,2,0,0,1,2,2,0,0,0,0,1,0,2,0,0,1,2,0,2,6,0,0,0,0,0,3,0,1,3,0,0,0,4,1,0,0,0,3,1,0,0,2,0,0,2,0,1,2,0,1,0,2,1,0,1,0,1,1,2,0,0,0,1,0,1,0,3,0,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,2,0,1,4,0,1,3,0,2,3,0,1
128,0,1,1,0,0,4,2,0,0,0,1,1,0,0,1,2,0,2,1,2,1,0,0,0,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,2,1,0,0,0,0,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,3,0,2,3,0,0,2,0,1,3,0,3
